velocidad_bala,distancia,bala_y,h1,h2,h3,h4,h5,h6,h7,h8,accion
0.0,2160.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-26.0,999.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
-26.0,973.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
-26.0,947.0,618.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
-26.0,921.0,618.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
-26.0,895.0,618.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
-26.0,869.0,618.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
-26.0,843.0,618.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-26.0,817.0,618.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-26.0,791.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-26.0,765.0,618.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-26.0,739.0,618.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-26.0,713.0,618.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0
-26.0,687.0,618.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-26.0,661.0,618.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-26.0,635.0,618.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-26.0,609.0,618.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-26.0,583.0,618.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
-26.0,557.0,618.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-26.0,531.0,618.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-26.0,505.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-26.0,479.0,618.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-26.0,453.0,618.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-26.0,427.0,618.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-26.0,401.0,618.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-26.0,375.0,618.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-26.0,349.0,618.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-26.0,323.0,618.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-26.0,297.0,618.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-26.0,271.0,618.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2
-26.0,245.0,618.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2
